segment_id,system_id,BERTScore,BLEU,BLEURT-20,COMET-22,CometKiwi,GEMBA-ESA,MEE4,MQM,MetricX-24-Hybrid,MetricX-24-Hybrid-QE,PrismRefMedium,PrismRefSmall,XCOMET,XCOMET-QE,XLsimMqm,YiSi-1,chrF,chrfS,damonmonli,metametrics_mt_mqm_hybrid,metametrics_mt_mqm_qe,sentinel-cand,sentinel-ref,sentinel-src,spBLEU
21,J,0.7784,7.9071,0.2889,0.4070,0.4033,33,0.7417,null,-15.6871,-15.8592,-1.4337,-1.6201,0.1096,0.1589,0.7255,0.8868,46.2305,0.6359,32.4277,0.2019,0.3339,-2.0664,0.2559,0.3889,5.8041
21,K,0.8029,7.9843,0.5669,0.7373,0.7141,50,0.7675,null,-10.8130,-9.8829,-1.2845,-1.3820,0.8553,0.8392,0.8343,0.9084,40.3342,0.6363,50.0930,1.0946,1.1197,0.2291,0.2559,0.3889,10.4602
21,L,0.7973,9.7920,0.6040,0.6952,0.7910,60,0.7679,null,-4.6915,-4.1085,-1.1351,-1.2884,0.8442,0.7923,0.8416,0.9038,41.1090,0.6412,54.0495,1.2435,1.1468,0.2653,0.2559,0.3889,11.9087
21,Llama3-70B,0.8067,8.9202,0.7046,0.7999,0.8782,100,0.7608,-5.2000,-2.3637,-1.9124,-0.8638,-1.0697,0.9680,0.9647,0.7587,0.9090,38.6913,0.6303,52.9354,1.3597,1.1880,0.4015,0.2559,0.3889,9.2519
21,M*,0.8085,10.8393,0.7331,0.8195,0.8741,100,0.7736,-7,-2.2949,-1.4561,-0.9594,-1.1128,0.9571,0.9568,0.8438,0.9108,42.8198,0.6521,55.7830,1.3600,1.1687,0.4426,0.2559,0.3889,13.1723
21,Mistral-Large,0.8052,11.2916,0.7102,0.8260,0.8775,100,0.7652,-0.2000,-2.2340,-1.6502,-0.8765,-1.0166,0.9600,0.9520,0.7646,0.9110,41.4735,0.6371,54.7478,1.3369,1.1781,0.4345,0.2559,0.3889,10.9218
21,ONLINE-A,0.8214,20.6727,0.7187,0.8069,0.8731,100,0.7934,-0.2000,-2.4017,-1.6657,-0.8301,-0.9585,0.9707,0.9737,0.7155,0.9146,46.2390,0.6797,54.5909,1.3452,1.1754,0.3462,0.2559,0.3889,19.4448
21,ONLINE-B,0.8116,16.8025,0.7259,0.8225,0.8805,100,0.7723,-1,-1.7179,-1.1335,-0.8534,-0.9963,0.9829,0.9910,0.8974,0.9086,44.2131,0.6580,53.5143,1.3661,1.1602,0.4909,0.2559,0.3889,19.7495
21,ONLINE-W,0.8169,12.1045,0.7153,0.8309,0.8738,100,0.7909,-0.2000,-1.4467,-1.0826,-0.8383,-0.9804,0.9798,0.9618,0.7436,0.9148,44.6390,0.6601,54.1378,1.3661,1.1606,0.4081,0.2559,0.3889,11.6113
21,TranssionMT,0.8116,16.8025,0.7259,0.8225,0.8805,100,0.7723,-1,-1.7260,-1.1239,-0.8549,-0.9963,0.9829,0.9910,0.8974,0.9086,44.2131,0.6580,53.5143,1.3661,1.1602,0.4909,0.2559,0.3889,19.7495
21,Unbabel-Tower70B,0.8279,17.5481,0.7195,0.8371,0.8779,100,0.7974,-0,-1.7178,-1.2127,-0.8357,-0.9512,0.9914,1.0026,0.8950,0.9149,46.4193,0.6774,53.8388,1.3832,1.1601,0.4928,0.2559,0.3889,17.7125
21,refB,0.8498,19.0856,0.7344,0.8485,0.8424,100,0.7996,-6,-1.3057,-1.6571,-0.7858,-0.8578,0.9805,0.9714,0.8907,0.9315,57.1898,0.7209,54.3564,1.4204,1.1827,0.4549,0.2559,0.3889,21.6512
22,A,0.5881,1.5241,0.2293,0.2049,0.1453,0,0.3313,null,-21.7122,-23.4773,-1.9751,-2.1413,-0.0414,-0.0346,0.7987,0.8015,17.1861,0.2706,24.4339,0.0927,0.1525,-1.9911,-0.0543,0.0458,1.1431
22,Aya23,0.8465,29.4692,0.7464,0.8392,0.8449,100,0.8496,-0,-1.2687,-1.0695,-0.6662,-0.7588,0.8964,0.8918,0.8913,0.9535,63.7013,0.7854,53.8039,1.3610,1.1452,0.2550,-0.0543,0.0458,34.9155
22,B (50k),0.7121,2.4266,0.1400,0.3312,0.2335,0,0.6826,null,-21.8589,-21.0680,-2.3028,-2.4483,-0.0441,-0.0315,0.7551,0.8573,37.2531,0.5633,31.4184,0.1185,0.1615,-2.3191,-0.0543,0.0458,2.9448
22,C,0.7116,3.0661,0.2534,0.3274,0.2518,0,0.6240,null,-21.6809,-20.4130,-2.1180,-2.2039,-0.0272,-0.0179,0.8370,0.8507,31.1699,0.4991,40.1020,0.1182,0.1652,-2.3004,-0.0543,0.0458,3.0034
22,Claude-3.5,0.8648,36.4602,0.7270,0.8276,0.8371,100,0.8478,-3,-1.5194,-1.4504,-0.5847,-0.7099,0.8654,0.8349,0.8869,0.9491,65.3894,0.7997,53.5832,1.3470,1.1515,0.1727,-0.0543,0.0458,36.8627
22,CommandR-plus,0.8945,24.8351,0.7117,0.8404,0.8531,100,0.8505,-0,-0.9980,-0.8598,-0.6402,-0.7569,0.9235,0.8894,0.8717,0.9502,62.2923,0.7836,55.6530,1.3814,1.1416,0.2696,-0.0543,0.0458,34.0572
22,D (50k),0.7473,5.6117,0.1855,0.3700,0.2881,0,0.7237,null,-19.9581,-19.4322,-2.1390,-2.2599,-0.0067,-0.0048,0.7836,0.8710,39.0816,0.6001,42.1894,0.1285,0.1677,-2.4191,-0.0543,0.0458,8.9787
22,Dubformer,0.8213,11.4096,0.6997,0.7922,0.7783,100,0.7876,-2,-0.8469,-1.1112,-0.8331,-0.9481,0.9294,0.9229,0.9137,0.9154,44.4629,0.6723,53.0653,1.3765,1.1165,0.3378,-0.0543,0.0458,14.8235
22,E (200k),0.7623,13.9766,0.2058,0.3914,0.3300,10,0.7844,null,-19.2982,-19.3999,-1.7131,-1.8673,0.0446,0.0210,0.8588,0.8956,49.1873,0.6818,44.0070,0.1582,0.4250,-2.3607,-0.0543,0.0458,12.8039
22,F,0.7546,7.1050,0.1799,0.3574,0.3277,0,0.7516,null,-20.1790,-20.5676,-1.6228,-1.8082,0.1112,0.1827,0.8482,0.8757,36.9689,0.6084,43.3650,0.1434,0.3017,-2.3653,-0.0543,0.0458,9.9555
22,G (200k),0.8208,16.0691,0.2855,0.4469,0.4934,20,0.7874,null,-15.2763,-15.1027,-1.5588,-1.6535,0.2557,0.2367,0.8271,0.9045,47.8226,0.6844,46.3505,0.4391,0.7811,-1.5112,-0.0543,0.0458,16.2695
22,GPT-4,0.8611,34.7797,0.7147,0.8320,0.8542,100,0.8407,-2,-1.0711,-0.9271,-0.6227,-0.7027,0.9295,0.8937,0.8878,0.9479,63.1587,0.7866,55.1411,1.3756,1.1456,0.2504,-0.0543,0.0458,32.8370
22,Gemini-1.5-Pro,0.8867,34.7076,0.7212,0.8246,0.8474,100,0.8485,-0,-0.8762,-0.7727,-0.6006,-0.7063,0.9612,0.9412,0.8943,0.9471,66.3153,0.7999,53.7007,1.3965,1.1231,0.2258,-0.0543,0.0458,36.3070
22,H (400k),0.8267,19.1200,0.5389,0.7416,0.6329,33,0.7942,null,-11.3244,-10.2185,-1.3407,-1.4141,0.5531,0.4386,0.8895,0.9120,52.3298,0.7085,51.4707,1.0890,1.0458,-0.1580,-0.0543,0.0458,17.7448
22,I (400k),0.8419,16.1283,0.5394,0.6527,0.6274,33,0.8196,null,-11.9439,-11.5495,-1.3810,-1.5298,0.5112,0.4219,0.8902,0.9202,52.6726,0.7219,54.2016,0.9144,0.9220,-0.5841,-0.0543,0.0458,19.2459
22,IKUN,0.8452,33.3134,0.6999,0.8083,0.8434,100,0.8467,-20,-2.9147,-3.1504,-0.6528,-0.7138,0.9024,0.8576,0.8949,0.9510,63.6475,0.7881,54.0453,1.3460,1.1310,0.1890,-0.0543,0.0458,35.8443
22,IKUN-C,0.8491,22.9036,0.7048,0.8051,0.8348,100,0.8307,-10,-2.9260,-2.4412,-0.7316,-0.8365,0.8737,0.8488,0.8887,0.9491,59.6560,0.7588,53.4110,1.2642,1.1248,0.2175,-0.0543,0.0458,29.0992
22,IOL_Research,0.9117,33.5128,0.7251,0.8319,0.8408,100,0.8560,-5,-0.9819,-0.8305,-0.5700,-0.6864,0.8760,0.8462,0.8842,0.9523,65.3192,0.8008,54.7159,1.3470,1.1444,0.2042,-0.0543,0.0458,36.8854
